ANO;AGREGACAO;CODIGO;NOME;IDHM;IDHM_L;IDHM_E;IDHM_R;I_ESCOLARIDADE;I_FREQ_PROP;IDHMAD;IDHMAD_L;IDHMAD_E;IDHMAD_R;ATK_ESPVIDA;ATK_ANOSEST;ATK_RDPC;IDHMAD_PERDA;IDHMAD_L_PERDA;IDHMAD_E_PERDA;IDHMAD_R_PERDA;IDHMAD_COEF;ESPVIDA;MORT1;T_ENV;RAZDEP;T_FREQ5A6;T_FUND11A13;T_FUND15A17;T_MED18A20;T_FUND18M;ANOSEST;T_ANALF15M;T_ANALF18M;T_ANALF25M;T_FREQ6A14;T_FREQ15A17;T_FREQ18A24;T_FUND18A24;T_FUND25M;T_MED25M;T_SUPER25M;T_ATRASO_2_BASICO;T_ATRASO_2_FUND;T_FLBAS;T_FLFUND;T_FLMED;T_FLSUPER;RDPC;RDPCT;RENOCUP;PRENTRAB;RDPC1;RDPC2;RDPC3;RDPC4;RDPC5;RDPC10;R1040;R2040;GINI;THEIL;PIND;PMPOB;PPOB;RIND;RMPOB;RPOB;POPTOT;POP;POPT;POP5A6;POP6A14;POP6A17;POP11A13;POP15A17;POP15M;POP18A20;POP18A24;POP18M;POP25M;POP65M;POPOCUP18M
2012;BRASIL;;;0.746;0.825;0.687;0.732;0.606;0.731;0.571;0.743;0.55;0.456;0.1;0.2;0.377;23.5;10;20;37.7;22.6;74.48;15.79;7.71;45.66;92.54;86.68;64;49.28;60.61;8.56;8.21;8.75;10.22;98.13;84.09;29.39;81.58;56.3;41.63;12.25;18.8;15.11;91.8;93.71;53.12;15.75;759.11;766.53;1337.46;75.77;120.3;277.98;457;723.56;2217.39;3249.15;16.32;11.13;0.54;0.526;4.32;11.38;26.78;34.2;80.6;147.63;197720534;197539065;195627652;5987147;29199570;39808859;10304212;10609288;150994845;10076087;23924348;140385557;116461209;15249133;84277753
2013;BRASIL;;;0.753;0.83;0.698;0.737;0.615;0.744;0.581;0.749;0.562;0.467;0.097;0.195;0.367;22.8;9.7;19.5;36.7;22;74.8;15.11;7.93;45;93.74;87.58;66.21;50.11;61.51;8.69;7.93;8.44;9.87;98.27;84.35;29.55;82.01;57.37;42.79;12.76;17.2;13.63;91.67;93.56;54.64;16.32;784.47;791.56;1380.05;76.57;129.17;293.65;478.8;750.32;2269.09;3310.02;15.66;10.73;0.532;0.509;3.71;10.07;24.95;34.35;81.13;150.12;199402499;199254117;197469397;5933908;28534013;39055262;9986737;10521249;153338252;10336071;24034903;142817003;118782100;15820311;86108710
2014;BRASIL;;;0.762;0.835;0.715;0.741;0.63;0.761;0.593;0.757;0.581;0.474;0.094;0.188;0.36;22.2;9.4;18.8;36;21.4;75.11;14.48;8.17;44.75;94.42;89.09;68.14;52.76;63.01;8.88;7.5;7.97;9.3;98.49;84.1;30.43;83.31;59.02;44.31;13.62;15.51;12.14;91.78;93.78;56.12;17.97;806.32;813.01;1419.65;76.99;138.14;308.43;497.03;776.02;2311.9;3358.54;15.04;10.35;0.526;0.495;3.37;9.01;23.15;34.74;81.01;152.14;201108347;200970574;199317068;5767838;28319104;38765780;9687655;10446675;155356978;10224771;23840076;144910303;121070227;16425141;87308460
2015;BRASIL;;;0.765;0.84;0.724;0.736;0.642;0.769;0.598;0.764;0.591;0.473;0.091;0.184;0.358;21.9;9.1;18.4;35.8;21.1;75.4;13.9;8.41;44.37;94.93;90.67;68.18;53.84;64.16;9.03;7.28;7.73;8.97;98.73;85.49;30.13;84.38;60.25;45.78;14.46;14.57;11.01;93.23;95.21;57.61;18.37;780.32;787.37;1364.03;76.11;132.41;301.04;486.48;757.11;2227.73;3219.79;14.86;10.28;0.524;0.493;3.71;9.59;24.25;34.64;79.57;150.82;202858853;202734656;200918955;5760927;27788168;38189476;9314133;10401307;157576293;10394554;23851445;147174986;123323541;17060247;87756538
2016;BRASIL;;;0.771;0.845;0.74;0.734;0.657;0.786;0.596;0.77;0.602;0.457;0.089;0.186;0.377;22.7;8.9;18.6;37.7;21.7;75.68;13.37;8.67;44.07;96.55;92.44;69.47;55.89;65.68;9.13;6.81;7.23;8.41;99.02;86.8;30.73;86;61.83;47.47;15.34;13.33;9.95;94.47;96.67;59.98;19.03;770.94;779.29;1363.73;75.69;120.55;284.25;466.32;734.5;2249.43;3268.95;16.15;11.11;0.537;0.524;4.65;11.03;26.17;34.02;76.75;145.78;204532351;204415491;202226795;5708514;27319801;37694949;9288033;10375148;159692542;10242815;23779687;149317393;125537706;17728449;87110394
2017;BRASIL;;;0.774;0.849;0.742;0.735;0.655;0.789;0.599;0.775;0.611;0.453;0.087;0.177;0.384;22.6;8.7;17.7;38.4;21.6;75.96;12.88;8.94;43.93;96.59;93.12;69.21;56.54;65.45;9.26;6.69;7.09;8.24;99.06;86.92;31.04;85.99;61.6;47.98;15.43;12.58;9.17;94.48;97.05;59.82;19.45;774.72;784.3;1358.22;74.82;116.89;284.28;470.23;738.15;2255.48;3295.25;16.43;11.24;0.539;0.53;5.29;11.36;26.24;33.77;73.55;143.59;206172340;206095081;203579428;5793161;26977583;36965134;9178387;9987551;161671766;10306849;23975663;151684215;127708552;18431296;87616245
2018;BRASIL;;;0.78;0.854;0.749;0.741;0.662;0.797;0.602;0.781;0.622;0.45;0.085;0.169;0.393;22.7;8.5;16.9;39.3;21.6;76.22;12.42;9.22;44.02;96.95;93.34;70.05;58.49;66.23;9.45;6.46;6.82;7.88;99.12;87.8;31.22;86.6;62.46;49.62;16.57;12.16;8.72;94.93;97.18;60.91;20.32;802.94;812.53;1386.46;74.47;116.43;288.47;484.57;764.34;2359.28;3468.56;17.13;11.65;0.545;0.548;5.38;11.3;26;33.18;71.78;142.87;207853293;207750303;205297475;5637587;26818633;36460225;9041166;9641591;163492349;10093878;23998725;153850757;129852032;19168661;89281706
2019;BRASIL;;;0.785;0.858;0.76;0.743;0.674;0.807;0.609;0.787;0.634;0.453;0.083;0.166;0.39;22.4;8.3;16.6;39;21.3;76.47;12;9.52;44.09;96.86;94.09;71.48;60.26;67.42;9.55;6.28;6.61;7.64;99.27;88.32;30.98;88.12;63.66;50.69;16.83;11.16;7.99;95.38;97.71;62.9;20.44;814.3;823.75;1381.35;74.42;117.4;294.94;497.37;780.89;2376.44;3492.48;16.94;11.53;0.544;0.547;5.42;11.11;25.36;33.43;71.04;141.39;209496463;209419050;207017440;5696969;26609576;35999274;8951264;9389698;165329825;10194743;23952392;155940127;131987735;19941230;91579200
2020;BRASIL;;;0.784;0.854;0.768;0.736;0.695;0.807;0.618;0.777;0.65;0.467;0.09;0.153;0.365;21.2;9;15.3;36.5;20.3;76.21;14.02;9.83;44.33;91.99;94.97;73.11;62.87;69.48;9.82;5.39;5.67;6.52;99.21;90.88;32.48;90.6;65.77;53.35;18.06;10.32;7.03;96.28;97.69;65.73;21.32;779.13;792.83;1424.81;72.91;130.74;307.12;489.82;746.63;2221.52;3241.39;14.81;10.15;0.524;0.485;4.41;9.41;23.7;25.86;69.5;147.81;211096453;211020949;207374391;5891193;26392885;35750038;8751715;9357153;167005197;9806225;23521448;157648044;134126596;20748553;83946549
2021;BRASIL;;;0.766;0.819;0.757;0.724;0.703;0.785;0.591;0.74;0.64;0.436;0.096;0.154;0.398;22.8;9.6;15.4;39.8;21.6;74.16;15.28;10.15;44.57;88.18;94.04;70.56;61.27;70.31;9.91;5.19;5.45;6.26;98.84;92.8;33.38;90.6;66.86;53.89;18.63;11.46;8.35;96.61;97.63;64.84;20.84;723.84;738.28;1336.18;75.42;100.13;261.86;440.02;699.27;2115.37;3089.77;17.07;11.69;0.544;0.537;6.8;13.43;28.76;31.35;68.98;136.62;212650323;212577217;208421576;5860250;26435508;35708677;8708856;9273169;168679921;9546945;23143737;159406751;136263014;21590309;86645408
